nom,SIREN,type,code_departement,code_departement_3digits,code_region,population
CC du Pays de Phalsbourg,245700950,CC,57,057,44,18079
CC du Pays de l'Ourcq,247700065,CC,77,077,11,18085
CC de la Plaine d'Estrées,246000897,CC,60,060,32,18216
CC Cagire Garonne Salat,200073146,CC,31,031,76,18248
CC du Plateau de Lannemezan,200070787,CC,65,065,76,18251
CC du Warndt,245701164,CC,57,057,44,18296
CC des Portes de Rosheim,246700744,CC,67,067,44,18315
CC Lavalette Tude Dronne,200070282,CC,16,016,75,18323
CC Val ès Dunes,200065589,CC,14,014,28,18343
CC de Blavet Bellevue Océan,245600440,CC,56,056,53,18406
CC de la Haute Comté,200041721,CC,70,070,27,18458
CC Berry Loire Puisaye,200068278,CC,45,045,24,18477
CC Pays Ségali Communauté,200068831,CC,12,012,76,18486
CC du Haut Pays Bigouden,242900710,CC,29,029,53,18505
CC Brenne - Val de Creuse,243600319,CC,36,036,24,18550
CC des Sucs,244301016,CC,43,043,84,18589
CC du Pays de Ribeauvillé,246800577,CC,68,068,44,18605
CC Terre de Picardie,200070928,CC,80,080,32,18619
CC Terre d'Eau,200068682,CC,88,088,44,18637
CC de la Plaine du Rhin,200041283,CC,67,067,44,18638
CC Roussillon-Conflent,246600415,CC,66,066,76,18640
CC du Pays de Bray,246000913,CC,60,060,32,18644
CC de Brocéliande,243500618,CC,35,035,53,18645
CC Douarnenez Communauté,242900645,CC,29,029,53,18667
CC Cœur de France,200036135,CC,18,018,24,18706
CC Terres de Chalosse,200069631,CC,40,040,75,18707
CC du Confluent et des Coteaux de Prayssas,200068922,CC,47,047,75,18800
CC Loué - Brûlon - Noyen,200040475,CC,72,072,52,18832
CC des Deux Vallées,249100157,CC,91,091,11,18847
CC du Pays de Sainte-Odile,246701080,CC,67,067,44,18931
CC du Pays des Achards,248500530,CC,85,085,52,18938
CC de la Champagne Conlinoise et du Pays de Sillé,200072718,CC,72,072,52,18944
CC de Seille et Grand Couronné,200070589,CC,54,054,44,18961
CC des Portes de Romilly-sur-Seine,200000545,CC,10,010,44,18966
CC du Pays de Conches,242700276,CC,27,027,28,19013
CC du Pays de Maîche,200023075,CC,25,025,27,19093
CC Pays Fort Sancerrois Val de Loire,200069227,CC,18,018,24,19116
CC du Perche,200006971,CC,28,028,24,19133
CC des Bastides Dordogne-Périgord,200034833,CC,24,024,75,19138
CC Gâtinais Val de Loing,200023919,CC,77,077,11,19156
CC des Deux Rives,248200016,CC,"32,47,82","32,47,82","75,76",19179
CC des Vallées de Thônes,247400617,CC,74,074,84,19197
CC du Kreiz-Breizh (CCKB),242200715,CC,22,022,53,19267
CC Entre Dore et Allier,246301097,CC,63,063,84,19268
CC du Rhône aux Gorges de l'Ardèche,240700864,CC,07,007,84,19300
CC Combrailles Sioule et Morge,200072098,CC,63,063,84,19302
CC Isle Vern Salembre en Périgord,200040095,CC,24,024,75,19320
CC du Bocage Mayennais,245300389,CC,53,053,52,19389
CC Castillon/Pujols,243301454,CC,"24,33","24,33",75,19393
CC Bresse Haute Seille,200069615,CC,39,039,27,19411
CC Decazeville Communauté,200067064,CC,12,012,76,19443
CC du Barséquanais en Champagne,200069003,CC,10,010,44,19457
CC de Cèze Cévennes,200035129,CC,"07,30","07,30","76,84",19491
"CC Avallon,Vézelay,Morvan",200039758,CC,89,089,27,19495
CC de la Matheysine,200040657,CC,38,038,84,19535
CC Océan Marais de Monts,248500258,CC,85,085,52,19607
CC des Quatre Rivières,247400666,CC,74,074,84,19633
CC Terre d'Auge,241400878,CC,14,014,28,19653
CC des Coteaux Bordelais,243301355,CC,33,033,75,19668
CC Sausseron Impressionnistes,249500430,CC,95,095,11,19672
CC Comtal Lot et Truyère,200067478,CC,12,012,76,19690
CC Haut Chemin-Pays de Pange,200067957,CC,57,057,44,19744
CC Aygues-Ouvèze en Provence (CCAOP),248400160,CC,84,084,93,19817
CC Orée de Bercé - Belinois,247200447,CC,72,072,52,19817
CC de la Lomagne Gersoise,243200391,CC,32,032,76,19938
CC de Mirecourt Dompaire,200068369,CC,88,088,44,20082
CC du Pays de Lure,247000664,CC,70,070,27,20139
CC du Périgord Ribéracois,200040400,CC,24,024,75,20208
CC du Val de l'Eyre,243301405,CC,33,033,75,20259
CC Beauce Val de Loire,200055481,CC,41,041,24,20268
CC Éguzon - Argenton - Vallée de la Creuse,200068872,CC,36,036,24,20322
CC Arve et Salève,247400583,CC,74,074,84,20327
CC Mad et Moselle,200070738,CC,"54,57","54,57",44,20412
CC Latitude Nord Gironde,243301181,CC,33,033,75,20434
CC du Ried de Marckolsheim,200030526,CC,"67,68","67,68",44,20449
CC de Blaye,200023794,CC,33,033,75,20480
CC Terre de Camargue,243000650,CC,30,030,76,20512
CC des Coteaux Bellevue,243100815,CC,31,031,76,20520
CC du Pays d'Issoudun,243600236,CC,"18,36","18,36",24,20543
CC des 4B Sud Charente,200029734,CC,16,016,75,20576
CC Les Bertranges,200068088,CC,"18,58","18,58","24,27",20595
CC des Portes du Luxembourg,240800847,CC,08,008,44,20612
CC du Val de l'Aisne,240200501,CC,02,002,32,20625
"CC de la Cléry,du Betz et de l'Ouanne",200067668,CC,"45,89","45,89","24,27",20642
CC du Vexin-Thelle,246000707,CC,60,060,32,20721
CC de l'Est de la Somme,200070985,CC,"02,80","02,80",32,20729
CC du Pays Châtillonnais,242101434,CC,21,021,27,20744
CC du Briançonnais,240500439,CC,05,005,93,20771
CC Grand Orb,200042646,CC,34,034,76,20780
CC Loire et Semène,244301131,CC,43,043,84,20787
CC Lieuvin Pays d'Auge,200066017,CC,27,027,28,20833
CC du Quercy Caussadais,248200057,CC,82,082,76,20864
CC Val de Saône Centre,200070118,CC,01,001,84,20934
CC du Vallespir,246600373,CC,66,066,76,20987
CC Usses et Rhône,200070852,CC,"01,74","01,74",84,20992
CC Rives de Saône,242101509,CC,21,021,27,21011
CC Conflent-Canigó,200049211,CC,66,066,76,21013
CC du Grand Chambord,244100798,CC,41,041,24,21106
CC Lyons Andelle,200070142,CC,27,027,28,21130
CC Cœur Côte Fleurie,241400415,CC,14,014,28,21220
CC du Val de Morteau,242504116,CC,25,025,27,21294
CC Haut-Jura Saint-Claude,200026573,CC,39,039,27,21304
CC Val de Gray,200036549,CC,70,070,27,21322
CC Plateau de Caux-Doudeville-Yerville,200069847,CC,76,076,28,21353
CC de l'Ernée,245300355,CC,53,053,52,21376
CC de la Champagne Picarde,240200576,CC,02,002,32,21383
CC Médullienne,243301389,CC,33,033,75,21456
CC de la Vallée de la Bruche,246700306,CC,67,067,44,21460
CC Plaine Limagne,200071199,CC,63,063,84,21479
CC du Pays d'Héricourt,247000722,CC,"25,70","25,70",27,21490
CC du Sud Corse,200040764,CC,2A,02A,94,21514
CC Sud Nivernais,200067700,CC,58,058,27,21526
CC des Portes de l'Entre-deux-Mers,243301439,CC,33,033,75,21541
CC Maine Cœur de Sarthe,200068963,CC,72,072,52,21578
CC de l'Oise Picarde,200068005,CC,60,060,32,21606
CC des Aspres,246600449,CC,66,066,76,21626
CC des Coteaux du Girou,243100732,CC,31,031,76,21627
CC des Trois Rivières,240200600,CC,02,002,32,21673
CC du Grand Langres,200072999,CC,52,052,44,21758
CC des Baronnies en Drôme Provençale,200068229,CC,26,026,84,21770
CC des Paysages de la Champagne,200066850,CC,51,051,44,21776
CC de Bléré Val de Cher,243700820,CC,37,037,24,21858
CC Val de Gâtine,200069748,CC,79,079,75,21876
CC du Jovinien,248900938,CC,89,089,27,21886
CC de Gâtine et Choisilles - Pays de Racan,200073237,CC,37,037,24,21892
CC de la Châtaigneraie Cantalienne,200066678,CC,15,015,84,21935
CC Entre Beauce et Perche,200058360,CC,28,028,24,21986
CC de Sézanne-Sud Ouest Marnais,200066835,CC,51,051,44,22029
CC Interrégionale Aumale - Blangy-sur-Bresle,200069722,CC,"76,80","76,80","28,32",22082
CC Lauragais Revel Sorezois,243100567,CC,"11,31,81","11,31,81",76,22099
