siren,nom,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode,ptf,Techno (from Plateformes),Thématiques
213302433,LIBOURNE,COM,NAQ-75,https://data.libourne.fr/portail?facet.field=,22.0,,,,,24845.0,44.916111,-0.2427,ptf,33,Libourne,CKAN,"Urbanisme, Equipements, Social"
217702513,LIEUSAINT,COM,IDF-11,https://data.ville-lieusaint.fr/explore/?sort=title&refine.publisher=Mairie+de+Lieusaint,7.0,,,,Mairie de Lieusaint,13242.0,48.6314,2.54811,ptf,77,Lieusaint,OpenDataSoft,"Environnement, Education, Social, Citoyenneté, Administratif"
413095811,LIG'AIR,OACT,CVL-24,https://data-ligair.opendata.arcgis.com/datasets,96.0,https://www.data.gouv.fr/fr/organizations/5be949a9634f415deb46af0e/,131.0,5be949a9634f415deb46af0e,,,47.8154,1.92457,ptf+datagouv,45,"Lig'Air, DataGouv","ArcGIS, DataGouv",Environnement
254402738,LILA PRESQU'ILE,AGCT,PDL-52,https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Lila+Presqu%27ile,5.0,,,,Lila Presqu'ile,,47.3265,-2.41691,ptf,44,Cap Atlantique,OpenDataSoft,Transport
215903501,LILLE,COM,HDF-32,https://opendata.lillemetropole.fr/explore/?refine.publisher=Ville+de+Lille,76.0,https://www.data.gouv.fr/fr/organizations/58b69c62c751df4b175dd7a4/,227.0,58b69c62c751df4b175dd7a4,Ville de Lille,232741.0,50.631564,3.05644,ptf+datagouv,59,"Lille Métropole, DataGouv","OpenDataSoft, DataGouv","Transport, Administratif, Equipements, Environnement, Culture, Citoyenneté, Education, Urbanisme"
210401048,LIMANS,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5fd22e1969f505d699054d5b/,12.0,5fd22e1969f505d699054d5b,,380.0,43.984923,5.731154,datagouv,04,DataGouv,DataGouv,Equipements
218708501,LIMOGES,COM,NAQ-75,https://sig-ville-limoges.opendata.arcgis.com,1.0,https://www.data.gouv.fr/fr/organizations/54acf7fcc751df4851de6536,1.0,54acf7fcc751df4851de6536,,136059.0,45.833763,1.260768,ptf+datagouv,87,,,Equipements
216901165,LIMONEST,COM,ARA-84,"https://data.grandlyon.com/jeux-de-donnees?responsibleParty.organisationName=Commune%20de%20Limonest,Ville%20de%20Limonest",1.0,,,,,3583.0,45.83567,4.770834,ptf,69,Métropole de Lyon,GeoNetwork,"Administratif, Citoyenneté, Equipements, Environnement, Social, Urbanisme, Economie, Transport"
211403662,LISIEUX,COM,NOR-28,,,https://www.data.gouv.fr/fr/organizations/57835411c751df7f2ef3855e,13.0,57835411c751df7f2ef3855e,,21576.0,49.145244,0.22421,datagouv,14,DataGouv,DataGouv,"Administratif, Citoyenneté, Télécom"
219103405,LISSES,COM,IDF-11,https://lisses-grandparissud.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+de+Lisses,2.0,,,,Ville de Lisses,7445.0,48.596001,2.423789,ptf,91,Lisses,OpenDataSoft,"Citoyenneté, Administratif"
224100016,LOIR ET CHER,DEP,CVL-24,https://departement41-centrevaldeloire.opendatasoft.com/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.features&sort=explore.popularity_score&refine.publisher=CD41,7.0,https://www.data.gouv.fr/fr/organizations/534fff68a3a7292c64a77d8a,69.0,534fff68a3a7292c64a77d8a,,330727.0,,,ptf+datagouv,41,"Centre Val-de-Loire, DataGouv","OpenDataSoft, DataGouv","Culture, Administratif, Tourisme, Economie, Social, Transport, Urbanisme, Enfance, Environnement"
224400028,LOIRE ATLANTIQUE,DEP,PDL-52,https://data.loire-atlantique.fr/explore/?refine.publisher=Département+de+Loire-Atlantique,271.0,https://www.data.gouv.fr/fr/organizations/534fff6fa3a7292c64a77dc1/,270.0,534fff6fa3a7292c64a77dc1,Département de Loire-Atlantique,1426000.0,,,ptf+datagouv,44,"Loire-Atlantique, DataGouv","OpenDataSoft, DataGouv","Transport, Social, Economie, Administratif, Citoyenneté, Education, Culture, Environnement, Equipements, Urbanisme"
793698705,LOIRE ATLANTIQUE DEVELOPPEMENT,OACT,PDL-52,https://data.loire-atlantique.fr/explore/?refine.publisher=Loire-Atlantique+Développement,17.0,https://www.data.gouv.fr/fr/organizations/534fff87a3a7292c64a77eb0/,20.0,534fff87a3a7292c64a77eb0,Loire-Atlantique Développement,,47.204553,-1.554793,ptf+datagouv,44,"Loire-Atlantique, DataGouv","OpenDataSoft, DataGouv","Economie, Tourisme"
