ndeg_siren,adresse,identifiant_unique,montant_subvention,gestion,beneficiaire
380115493.0,6 AVENUE JULES VALLES 91200 ATHIS-MONS,1620,51150.0,ASP,ASSOC LANCEMENT
480067115.0,35-37 AVENUE CARNOT 91100 CORBEIL-ESSONNES,1624,7500.01,ASP,ASSOC LE LIEN CITOYEN
308089713.0,33 RUE JACQUES DUCLOS 91700 SAINTE-GENEVIEVE-DES-BOIS,1660,9166.67,ASP,ASSOC LIGUE DE L ESSONNE DE TENNIS
303213813.0,7 PLACE DU PETIT MARTROY 95300 PONTOISE,1665,9000.0,ASP,ASSOC M J C
490059243.0,1 SQUARE COURNOT 77100 MEAUX,1679,12500.0,ASP,ASSOC METIS
409028339.0,15 RUE DENFERT ROCHEREAU 75018 PARIS,1687,11249.94,ASP,ASSOC MOTUS
531009181.0,9 PLACE DE BELGIQUE 92250 GARENNE-COLOMBES,1696,6250.0,ASP,ASSOC NATIONALE DES APPRENTIS DE FRANCE
393369038.0,91 AV DE LA REPUBLIQUE 75011 PARIS,1704,9999.96,ASP,ASSOC OBSERVATOIRE REGIONAL DES DECHETS D ILE DE F
453068637.0,12 PIERRE ET MARIE CURIE 75005 PARIS,1706,12500.0,ASP,ASSOC OPERA FUOCO
412402190.0,278 AV ARISTIDE BRIAND 93320 PAVILLONS-SOUS-BOIS,1714,4833.32,ASP,ASSOC PARCOURS
415381987.0,42 RUE DE LA KRUTENAU 67000 STRASBOURG,1766,10666.64,ASP,ASSOC SIEL BLEU
480357813.0,7 RUE HENRI BARBUSSE 94340 JOINVILLE-LE-PONT,1773,4166.69,ASP,ASSOC SNL VAL DE MARNE
324522218.0,14 RUE DES CASCADES 91230 MONTGERON,1791,5000.02,ASP,ASSOC TENNIS CLUB D EPINAY SOUS SENART
323419333.0,7 SQUARE DES CARDEURS 75020 PARIS,1794,10333.36,ASP,ASSOC THEATRE AUX MAINS NUES
349508572.0,31 RUE DANTON 92130 ISSY-LES-MOULINEAUX,1802,22470.0,ASP,ASSOC TRAIT D'UNION ENTRAIDE EMPLOI
418575924.0,43 VOIE DAUMIER 94400 VITRY-SUR-SEINE,1826,15000.0,ASP,ASSOC XVIII 21 MUSIQUES DES LUMIERES
48338630600011.0,39 RUE HENRI DE VILMORIN VITRY-SUR-SEINE,1827,6671.94,Région IDF,ASSOCE KIPIK
78521629200017.0,AERODROME DE BUNO BONNEVEAU BUNO-BONNEVAUX,1835,1754.13,Région IDF,ASSOCIATION AERONAUTIQUE DU VAL D'ESSONNE
